wmoid;stname;lat;lon;elev
12100;KOLOBRZEG;54.1825;15.5797222222;4
12105;KOSZALIN;54.2044444444;16.1552777778;33.05
12115;USTKA;54.5883333333;16.8541666667;3.25
12120;LEBA;54.7536111111;17.5347222222;1.81
12125;LEBORK;54.5530555556;17.7569444444;38.62
12135;HEL;54.6036111111;18.8119444444;1.1
12140;GDANSK PORT PN.;54.3997222222;18.6977777778;2.58
12155;GDANSK-SWIBNO;54.3336111111;18.9344444444;6.79
12160;ELBLAG-MILEJEWO;54.2230555556;19.5430555556;189
12185;KETRZYN;54.0683333333;21.3694444444;106.57
12195;SUWALKI;54.1308333333;22.9488888889;184.32
12200;SWINOUJSCIE;53.9233333333;14.2422222222;4.95
12205;SZCZECIN;53.3952777778;14.6227777778;1.29
12210;RESKO-SMOLSKO;53.7636111111;15.3933333333;52
12230;PILA;53.1311111111;16.7483333333;72.47
12235;CHOJNICE;53.7152777778;17.5325;165.11
12250;TORUN;53.0422222222;18.5952777778;68.76
12270;MLAWA;53.1041666667;20.3611111111;147.05
12272;OLSZTYN;53.7711111111;20.4227777778;133.21
12280;MIKOLAJKI;53.7891666667;21.5886111111;127.06
12295;BIALYSTOK;53.1083333333;23.1722222222;148.16
12300;GORZOW WLKP;52.7411111111;15.2772222222;71.22
12310;SLUBICE;52.3486111111;14.5938888889;20.81
12330;POZNAN-LAWICA;52.4166666667;16.8347222222;88.24
12345;KOLO;52.2002777778;18.6613888889;115.4
12360;PLOCK;52.5883333333;19.7258333333;105.94
12375;WARSZAWA-OKECIE;52.1627777778;20.9611111111;106.51
12385;SIEDLCE;52.1811111111;22.2447222222;151.9
12399;TERESPOL;52.0786111111;23.6219444444;133.38
12400;ZIELONA GORA;51.9302777778;15.5244444444;191.55
12415;LEGNICA;51.1930555556;16.2075;122.38
12418;LESZNO;51.8358333333;16.5347222222;90.55
12424;WROCLAW II;51.1033333333;16.9;120.62
12435;KALISZ;51.7819444444;18.0819444444;137.29
12455;WIELUN;51.2111111111;18.5577777778;199.45
12465;LODZ-LUBLINEK;51.7233333333;19.3994444444;179.67
12469;SULEJOW;51.3533333333;19.8663888889;188.14
12488;KOZIENICE;51.5647222222;21.5436111111;123.49
12495;LUBLIN RADAWIEC;51.2166666667;22.3930555556;237.59
12497;WLODAWA;51.5533333333;23.5294444444;176.67
12500;JELENIA GORA;50.9002777778;15.7888888889;342.29
12510;SNIEZKA;50.7361111111;15.7394444444;1603.56
12520;KLODZKO;50.4369444444;16.6141666667;356.03
12530;OPOLE;50.6269444444;17.9688888889;162.84
12540;RACIBORZ;50.0616666667;18.1916666667;205.92
12550;CZESTOCHOWA;50.8125;19.0925;293.21
12560;KATOWICE-MUCHOWICE;50.2405555556;19.0327777778;278.22
12566;KRAKOW-BALICE;50.0802777778;19.8019444444;236.51
12570;KIELCE-SUKOW;50.8102777778;20.6922222222;260.08
12575;TARNOW;50.03;20.9844444444;209.09
12580;RZESZOW-JASIONKA;50.1113888889;22.02;211.48
12585;SANDOMIERZ;50.6966666667;21.7158333333;216.95
12595;ZAMOSC;50.6977777778;23.2063888889;222.17
12600;BIELSKO-BIALA;49.8080555556;19.0011111111;395.8
12625;ZAKOPANE;49.2938888889;19.9602777778;854.56
12650;KASPROWY WIERCH;49.2325;19.9819444444;1990.51
12660;NOWY SACZ;49.6272222222;20.6891666667;291.51
12670;KROSNO;49.7069444444;21.7691666667;329.49
12690;LESKO;49.4663888889;22.3416666667;420.19
